id,agent_name,competition_agnostic,llm,model_id,featherless_model_key,model_capacity,parameter_count,concurrency_cost,model_details,policy_type,policy_details,persona_info,persona_id,prompt_variant,design_cell,replicate_id,design_seed
100001,Neo,yes,Gemma 4 31B,google/gemma-4-31B-it,chat2,Large,30.7B,2,Open,Static,FixedDelay(seconds=2.0; jitter=28.0; range=2-30; action=process),yes,P1,persona,GL_S_P,1,20261000
100002,Jax,yes,Qwen 3.5 27B,Qwen/Qwen3.5-27B,agent_standard,Large,27B,2,Open,Static,FixedDelay(seconds=2.0; jitter=28.0; range=2-30; action=process),yes,P1,persona,QL_S_P,1,20261000
100003,Mouse,yes,Claude Opus,Claude Opus,NA,Large,Undisclosed,NA,Closed,Static,FixedDelay(seconds=2.0; jitter=28.0; range=2-30; action=process),yes,P5,persona,C_S_P,1,20261000
101003,Mouse-Haiku,yes,Claude Haiku,Claude Haiku,NA,Large,Undisclosed,NA,Closed,Static,FixedDelay(seconds=2.0; jitter=28.0; range=2-30; action=process),yes,P5,persona,CH_S_P,1,20261000
102003,Mouse-Sonnet,yes,Claude Sonnet,Claude Sonnet,NA,Large,Undisclosed,NA,Closed,Static,FixedDelay(seconds=2.0; jitter=28.0; range=2-30; action=process),yes,P5,persona,CS_S_P,1,20261000
100004,Manabu,yes,Claude Opus,Claude Opus,NA,Large,Undisclosed,NA,Closed,Conversation dependent,ReadAndType(read_cps=25.0; type_cps=6.0; think=2.0; range=2-30; action=process),yes,P6,persona,C_C_P,3,20261000
101004,Manabu-Haiku,yes,Claude Haiku,Claude Haiku,NA,Large,Undisclosed,NA,Closed,Conversation dependent,ReadAndType(read_cps=25.0; type_cps=6.0; think=2.0; range=2-30; action=process),yes,P6,persona,CH_C_P,3,20261000
102004,Manabu-Sonnet,yes,Claude Sonnet,Claude Sonnet,NA,Large,Undisclosed,NA,Closed,Conversation dependent,ReadAndType(read_cps=25.0; type_cps=6.0; think=2.0; range=2-30; action=process),yes,P6,persona,CS_C_P,3,20261000
100005,DeusExMachina,yes,Gemma 4 E2B,google/gemma-4-E2B-it,agent_standard,Small,2.3B effective,1,Open,Conversation dependent,ReadAndType(read_cps=25.0; type_cps=6.0; think=2.0; range=2-30; action=process),no,,no_persona,GS_C_N,3,20261000
100006,Apoc,yes,Claude Opus,Claude Opus,NA,Large,Undisclosed,NA,Closed,Conversation dependent,ReadAndType(read_cps=25.0; type_cps=6.0; think=2.0; range=2-30; action=process),yes,P6,persona,C_C_P,1,20261000
101006,Apoc-Haiku,yes,Claude Haiku,Claude Haiku,NA,Large,Undisclosed,NA,Closed,Conversation dependent,ReadAndType(read_cps=25.0; type_cps=6.0; think=2.0; range=2-30; action=process),yes,P6,persona,CH_C_P,1,20261000
102006,Apoc-Sonnet,yes,Claude Sonnet,Claude Sonnet,NA,Large,Undisclosed,NA,Closed,Conversation dependent,ReadAndType(read_cps=25.0; type_cps=6.0; think=2.0; range=2-30; action=process),yes,P6,persona,CS_C_P,1,20261000
100007,Bugs,yes,Qwen 3.5 27B,Qwen/Qwen3.5-27B,agent_standard,Large,27B,2,Open,Conversation dependent,ReadAndType(read_cps=25.0; type_cps=6.0; think=2.0; range=2-30; action=process),yes,P6,persona,QL_C_P,3,20261000
100008,Vector,yes,Gemma 4 E2B,google/gemma-4-E2B-it,agent_standard,Small,2.3B effective,1,Open,Conversation dependent,ReadAndType(read_cps=25.0; type_cps=6.0; think=2.0; range=2-30; action=process),yes,P2,persona,GS_C_P,2,20261000
100009,Kid,yes,Qwen 3.5 27B,Qwen/Qwen3.5-27B,agent_standard,Large,27B,2,Open,Static,FixedDelay(seconds=2.0; jitter=28.0; range=2-30; action=process),no,,no_persona,QL_S_N,2,20261000
100010,Persephone,yes,Gemma 4 31B,google/gemma-4-31B-it,agent_standard,Large,30.7B,2,Open,Conversation dependent,ReadAndType(read_cps=25.0; type_cps=6.0; think=2.0; range=2-30; action=process),yes,P5,persona,GL_C_P,2,20261000
100011,Soren,yes,Gemma 4 E2B,google/gemma-4-E2B-it,agent_standard,Small,2.3B effective,1,Open,Static,FixedDelay(seconds=2.0; jitter=28.0; range=2-30; action=process),yes,P1,persona,GS_S_P,3,20261000
100012,Binary,yes,Gemma 4 E2B,google/gemma-4-E2B-it,agent_standard,Small,2.3B effective,1,Open,Static,FixedDelay(seconds=2.0; jitter=28.0; range=2-30; action=process),no,,no_persona,GS_S_N,1,20261000
100013,Rhineheart,yes,Qwen 3.5 2B,Qwen/Qwen3.5-2B,agent_standard,Small,2B,1,Open,Conversation dependent,ReadAndType(read_cps=25.0; type_cps=6.0; think=2.0; range=2-30; action=process),yes,P2,persona,QS_C_P,2,20261000
100014,Pudgy,yes,Claude Opus,Claude Opus,NA,Large,Undisclosed,NA,Closed,Conversation dependent,ReadAndType(read_cps=25.0; type_cps=6.0; think=2.0; range=2-30; action=process),yes,P5,persona,C_C_P,2,20261000
101014,Pudgy-Haiku,yes,Claude Haiku,Claude Haiku,NA,Large,Undisclosed,NA,Closed,Conversation dependent,ReadAndType(read_cps=25.0; type_cps=6.0; think=2.0; range=2-30; action=process),yes,P5,persona,CH_C_P,2,20261000
102014,Pudgy-Sonnet,yes,Claude Sonnet,Claude Sonnet,NA,Large,Undisclosed,NA,Closed,Conversation dependent,ReadAndType(read_cps=25.0; type_cps=6.0; think=2.0; range=2-30; action=process),yes,P5,persona,CS_C_P,2,20261000
100015,Lock,yes,Qwen 3.5 27B,Qwen/Qwen3.5-27B,agent_standard,Large,27B,2,Open,Conversation dependent,ReadAndType(read_cps=25.0; type_cps=6.0; think=2.0; range=2-30; action=process),yes,P3,persona,QL_C_P,2,20261000
100016,Sati,yes,Qwen 3.5 27B,Qwen/Qwen3.5-27B,agent_standard,Large,27B,2,Open,Static,FixedDelay(seconds=2.0; jitter=28.0; range=2-30; action=process),yes,P4,persona,QL_S_P,2,20261000
100017,Roland,yes,Gemma 4 31B,google/gemma-4-31B-it,agent_standard,Large,30.7B,2,Open,Conversation dependent,ReadAndType(read_cps=25.0; type_cps=6.0; think=2.0; range=2-30; action=process),yes,P6,persona,GL_C_P,3,20261000
100018,Axel,yes,Claude Opus,Claude Opus,NA,Large,Undisclosed,NA,Closed,Conversation dependent,ReadAndType(read_cps=25.0; type_cps=6.0; think=2.0; range=2-30; action=process),no,,no_persona,C_C_N,2,20261000
101018,Axel-Haiku,yes,Claude Haiku,Claude Haiku,NA,Large,Undisclosed,NA,Closed,Conversation dependent,ReadAndType(read_cps=25.0; type_cps=6.0; think=2.0; range=2-30; action=process),no,,no_persona,CH_C_N,2,20261000
102018,Axel-Sonnet,yes,Claude Sonnet,Claude Sonnet,NA,Large,Undisclosed,NA,Closed,Conversation dependent,ReadAndType(read_cps=25.0; type_cps=6.0; think=2.0; range=2-30; action=process),no,,no_persona,CS_C_N,2,20261000
100019,Duo,yes,Qwen 3.5 2B,Qwen/Qwen3.5-2B,agent_standard,Small,2B,1,Open,Conversation dependent,ReadAndType(read_cps=25.0; type_cps=6.0; think=2.0; range=2-30; action=process),no,,no_persona,QS_C_N,2,20261000
100020,Dozer,yes,Qwen 3.5 2B,Qwen/Qwen3.5-2B,chat1,Small,2B,1,Open,Conversation dependent,ReadAndType(read_cps=25.0; type_cps=6.0; think=2.0; range=2-30; action=process),no,,no_persona,QS_C_N,1,20261000
100021,AgentBrown,yes,Gemma 4 31B,google/gemma-4-31B-it,agent_standard,Large,30.7B,2,Open,Static,FixedDelay(seconds=2.0; jitter=28.0; range=2-30; action=process),yes,P1,persona,GL_S_P,2,20261000
100022,Cas,yes,Gemma 4 E2B,google/gemma-4-E2B-it,chat4,Small,2.3B effective,1,Open,Conversation dependent,ReadAndType(read_cps=25.0; type_cps=6.0; think=2.0; range=2-30; action=process),yes,P6,persona,GS_C_P,1,20261000
100023,Tank,yes,Qwen 3.5 2B,Qwen/Qwen3.5-2B,chat1,Small,2B,1,Open,Conversation dependent,ReadAndType(read_cps=25.0; type_cps=6.0; think=2.0; range=2-30; action=process),yes,P4,persona,QS_C_P,1,20261000
100024,Tom,yes,Claude Opus,Claude Opus,NA,Large,Undisclosed,NA,Closed,Static,FixedDelay(seconds=2.0; jitter=28.0; range=2-30; action=process),no,,no_persona,C_S_N,2,20261000
101024,Tom-Haiku,yes,Claude Haiku,Claude Haiku,NA,Large,Undisclosed,NA,Closed,Static,FixedDelay(seconds=2.0; jitter=28.0; range=2-30; action=process),no,,no_persona,CH_S_N,2,20261000
